Site;Road.width..m.;Road.verge;traffic;Group;Side;trials;successes;Same.side;Direction;Distance.to.marked..m.;Group.code;insects;flower.dens;delta.flower;Better.side;site.width
Tosterön;7;SP;5764;2C;W;30;2;Y;Y;14;C;0;104;NA;Y;4,07
Tosterön;7;SP;5764;1C;W;40;0;Y;Y;28;C;0;104;NA;Y;4,07
Skutskär;6;SR;930;3A;W;28;1;N;X;24,74;A;0;115;358;N;4,31
Skutskär;6;SR;930;2A;W;22;2;N;X;13,416;A;0;115;358;N;4,31
Skutskär;6;SR;930;3B;E;31;0;Y;X;24;B;0;473;NA;Y;4,31
Skutskär;6;SR;930;2B;E;31;7;Y;X;12;B;0;473;NA;Y;4,31
Skutskär;6;SR;930;2C;E;37;2;Y;Y;12;C;0;473;NA;Y;4,31
Skutskär;6;SR;930;1C;E;30;0;Y;Y;24;C;0;473;NA;Y;4,31
Knutby;6;SR;373;3A;W;29;5;N;X;24,74;A;2;1172;-119;Y;4,5
Knutby;6;SR;373;2A;W;28;1;N;X;13,416;A;2;1172;-119;Y;4,5
Knutby;6;SR;373;3B;E;30;2;Y;X;24;B;2;1053;NA;N;4,5
Knutby;6;SR;373;2B;E;30;2;Y;X;12;B;2;1053;NA;N;4,5
Knutby;6;SR;373;2C;E;32;0;Y;Y;12;C;2;1053;NA;N;4,5
Knutby;6;SR;373;1C;E;31;1;Y;Y;24;C;2;1053;NA;N;4,5
Östhammar;6;SP;1662;3A;W;35;1;N;X;24,74;A;1;535;-276;Y;3,55
Östhammar;6;SP;1662;2A;W;33;2;N;X;13,416;A;1;535;-276;Y;3,55
Östhammar;6;SP;1662;3B;E;31;19;Y;X;24;B;1;259;NA;N;3,55
Östhammar;6;SP;1662;2B;E;33;27;Y;X;12;B;1;259;NA;N;3,55
Östhammar;6;SP;1662;2C;E;35;24;Y;Y;12;C;1;259;NA;N;3,55
Östhammar;6;SP;1662;1C;E;30;0;Y;Y;24;C;1;259;NA;N;3,55
Enköping;6;SP;841;3A;E;27;3;N;X;24,74;A;2;402;-279;Y;4,29
Enköping;6;SP;841;2A;E;30;4;N;X;13,416;A;2;402;-279;Y;4,29
Enköping;6;SP;841;3B;W;30;1;Y;X;24;B;2;123;NA;N;4,29
Enköping;6;SP;841;2B;W;35;8;Y;X;12;B;2;123;NA;N;4,29
Enköping;6;SP;841;2C;W;31;9;Y;Y;12;C;2;123;NA;N;4,29
Enköping;6;SP;841;1C;W;30;0;Y;Y;24;C;2;123;NA;N;4,29
Skogstibble;6;SP;158;3A;S;26;0;N;X;24,74;A;2;413;-277;Y;3,98
Skogstibble;6;SP;158;2A;S;32;6;N;X;13,416;A;2;413;-277;Y;3,98
Skogstibble;6;SP;158;3B;N;22;2;Y;X;24;B;2;136;NA;N;3,98
Skogstibble;6;SP;158;2B;N;33;19;Y;X;12;B;2;136;NA;N;3,98
Skogstibble;6;SP;158;2C;N;29;1;Y;Y;12;C;2;136;NA;N;3,98
Skogstibble;6;SP;158;1C;N;33;1;Y;Y;24;C;2;136;NA;N;3,98
Rovsättra;5,7;SR;267;3A;E;34;2;N;X;23,5;A;6;628;-153;Y;4,32
Rovsättra;5,7;SR;267;2A;E;29;3;N;X;12,746;A;6;628;-153;Y;4,32
Rovsättra;5,7;SR;267;3B;W;33;3;Y;X;22,8;B;6;475;NA;N;4,32
Rovsättra;5,7;SR;267;2B;W;30;19;Y;X;11,4;B;6;475;NA;N;4,32
Rovsättra;5,7;SR;267;2C;W;36;8;Y;Y;11,4;C;6;475;NA;N;4,32
Rovsättra;5,7;SR;267;1C;W;34;3;Y;Y;22,8;C;6;475;NA;N;4,32
Upplands-Väsby;6;SP;6168;3A;E;24;13;N;X;24,74;A;3;244;-148;Y;4,76
Upplands-Väsby;6;SP;6168;2A;E;27;6;N;X;13,416;A;3;244;-148;Y;4,76
Upplands-Väsby;6;SP;6168;3B;W;27;3;Y;X;24;B;3;96;NA;N;4,76
Upplands-Väsby;6;SP;6168;2B;W;27;3;Y;X;12;B;3;96;NA;N;4,76
Upplands-Väsby;6;SP;6168;2C;W;28;2;Y;Y;12;C;3;96;NA;N;4,76
Upplands-Väsby;6;SP;6168;1C;W;22;0;Y;Y;24;C;3;96;NA;N;4,76
Rimbo;6;SP;939;3A;N;52;0;N;X;24,74;A;2;695;-588;Y;5,19
Rimbo;6;SP;939;2A;N;42;6;N;X;13,416;A;2;695;-588;Y;5,19
Rimbo;6;SP;939;3B;S;27;1;Y;X;24;B;2;107;NA;N;5,19
Rimbo;6;SP;939;2B;S;48;4;Y;X;12;B;2;107;NA;N;5,19
Rimbo;6;SP;939;2C;S;50;18;Y;Y;12;C;2;107;NA;N;5,19
Rimbo;6;SP;939;1C;S;57;3;Y;Y;24;C;2;107;NA;N;5,19
Björklinge;6,2;SP;247;3A;N;39;1;N;X;25,563;A;1;183;52;Y;2,88
Björklinge;6,2;SP;247;2A;N;34;2;N;X;13,864;A;1;183;52;Y;2,88
Björklinge;6,2;SP;247;3B;S;33;10;Y;X;24,8;B;1;131;NA;N;2,88
Björklinge;6,2;SP;247;2B;S;47;13;Y;X;12,4;B;1;131;NA;N;2,88
Björklinge;6,2;SP;247;2C;S;18;6;Y;Y;12,4;C;1;131;NA;N;2,88
Björklinge;6,2;SP;247;1C;S;31;1;Y;Y;24,8;C;1;131;NA;N;2,88
